ssn	job	company	mail	address	name	birthdate	username	current_location	registration	blood_group	user_id	station_ID
NCLMNL43L42D928J	Designer, graphic	Parini-Manolesso s.r.l.	cabriniantonina@outlook.com	"Rotonda Adamo, 51 Appartamento 27
40026, Sasso Morelli (BO)"	Elena Faranda		torquatoantonetti	(Decimal('4.2949115'), Decimal('-130.896232'))	2025-02-01	AB+	1780	631
17640389593	Balconista	da Luz	allanadas-neves@hotmail.com	"Jardim Otto Moura, 62
Madre Gertrudes
18038691 Sales / SP"	Bento Pacheco	2001-09-01	fmelo	(Decimal('-52.525160'), Decimal('136.036461'))	2020-08-26	O+	1703	362
764-56-9382		Mälzer GmbH	fscheel@gmail.com	"Atzlerallee 3044
35934 Emmendingen"	Ingrid Beyer		melissarogner	(Decimal('20.697844'), Decimal('-65.507285'))	2020/04/23	AB-	1528	459
TMOSIA88B06L002D	Radio broadcast assistant	Solimena, Mogherini e Malacarne Group	taccolagaetano@hotmail.it	"Piazza Silvestri, 96
85018, Trivigno (PZ)"	Gioele Petrucci	1958-01-29	infantinogiulio	(Decimal('36.970316'), Decimal('0.398741'))	07 Jul 2024	O+	1011	687
01358294615		Fernandes Ltda.	yan16@uol.com.br	"Estação Paulo Nascimento
São Bento
47836777 Pires / DF"	Aurora Pacheco		ramoscaua	(Decimal('27.617171'), Decimal('49.828757'))	08 Feb 2020	O+	159	467
801-70-6203		Ayala, Powell and Haas	jessicajohnson@yahoo.com	"54774 Shannon Terrace
Port Nancy, CT 63487"	Daniel Friedman		alexhunt	(Decimal('65.202273'), Decimal('80.685945'))	07/29/2025, 00:00:00	O+	1273	172
VLLSSN00S22H284N		Toso-Russo Group	silvia18@libero.it	"Contrada Giulietta, 62
09023, Monastir (CA)"	Paulina Nibali-Cendron	1962-09-14	aloisioveronica	(Decimal('-65.5156855'), Decimal('-117.604815'))	05/25/2019, 00:00:00	B+	1945	59
397-05-7183		Pruitt, Lee and Guzman	spencertheresa@gmail.com	"51046 Sandoval Parkways Apt. 280
Mariaside, CO 93341"	Michael Arnold		mortonstephen	(Decimal('69.931102'), Decimal('-117.258779'))	12/02/2023, 00:00:00	B-	154	703
18206739440		Câmara	ncassiano@yahoo.com.br		Juan Farias	1961-10-07	ucassiano	(Decimal('64.715185'), Decimal('106.768455'))	2023-11-25	A+	764	709
484-09-4987		Girschner KG	michaelaeimer@web.de	"Sieringallee 9-5
99429 Ochsenfurt"	Wolfgang Jüttner	1979-02-17	ferdiroerricht	(Decimal('-64.378653'), Decimal('-61.431139'))	26 Oct 2020	A-	1479	26
10394728505		Ferreira Albuquerque - EI	emanuellysa@gmail.com	"Trecho Ana Beatriz Montenegro
Ipiranga
91097-434 Vargas da Praia / RS"	Rafael Correia	1969-09-02	vianamatheus	(Decimal('-87.719338'), Decimal('52.384857'))	04/09/2020, 00:00:00	B+	1922	500
141-37-3262	Lecturer, further education	Owens and Sons	kenneth33@yahoo.com	"18635 Hanson Streets
East Sarah, FM 50244"	Brenda Santos	2003-01-10	jay69	(Decimal('21.654267'), Decimal('123.827915'))	04/22/2023, 00:00:00	O-	822	221
SCHCNT67T08G276E		Pertini e figli	froero@virgilio.it	"Incrocio Gianpaolo, 47
86032, Montecilfone (CB)"	Paloma Peranda	1974-12-03	monteverdigianmarco	(Decimal('24.0145435'), Decimal('-57.182852'))	06/01/2021, 00:00:00	AB+	58	367
13258467080	Limpador de vidros	Vasconcelos Viana - ME	hadassaborges@uol.com.br		Alana Correia	2003-04-11	pietracastro		07 Jan 2021	A-	211	209
478-71-2421		Roman, Michael and Smith	clarkjacob@gmail.com	"5349 Austin Vista Suite 277
Royberg, RI 73823"	Austin Jones		jeffdunlap	(Decimal('82.7002885'), Decimal('54.063983'))	2019/04/04	A-	901	700
BJRLVI65A42F419I		Notarbartolo, Ferrata e Agostini e figli	maria51@vodafone.it	"Canale Barracco, 21 Piano 6
20010, Casone (MI)"	Ottone Scalfaro-Comisso		qnonis	(Decimal('-33.744708'), Decimal('-174.163932'))	2024/11/05	B-	1973	666
ZFFMRA52R02C188O	Copywriter, advertising	Pertile-Sanguineti SPA	santino42@tin.it	"Contrada Porcellato, 62
16163, San Quirico In Val Polcevera (GE)"	Guarino Piane		mazzinicalcedonio	(Decimal('3.085187'), Decimal('12.139472'))	12/28/2023, 00:00:00	B-	2016	676
328-99-0374	Medical technical officer	Foley Group	murphynatalie@hotmail.com	"44254 Michael Mission
East Ryan, NM 55347"	Lindsay Ward DDS	1963-10-19	tshields	(Decimal('-9.0497865'), Decimal('-61.184837'))	2020-03-11	B-	550	171
MJRCSN20E26I667J		Barracco, Palombi e Lanfranchi SPA	annunziatabeccheria@gmail.com		Sig.ra Francesca Disdero	1916-10-16	pierangelofusani		06/23/2020, 00:00:00	A+	1651	90
84596237182		da Rocha - EI	rlima@uol.com.br	"Viela Ribeiro, 23
Santa Helena
77556030 Monteiro do Sul / DF"	Pedro Miguel Machado		anthonysa	(Decimal('-50.160644'), Decimal('-113.922612'))	2023-01-21	O+	41	483
835-17-7957		Neal, Cooper and Mueller	dawnpotter@hotmail.com	"225 Reyes Place Suite 162
Rodriguezburgh, MD 47944"	Albert Anderson	1971-12-29	fcantrell	(Decimal('65.5653215'), Decimal('-145.773671'))	05 Sep 2020	A-	1029	496
VSPGLS66A64I162L	Economist	Mannoia-Roth SPA	saloisio@gmail.com	"Strada Piergiuseppe, 0 Appartamento 86
47030, San Giovanni In Galilea (FC)"	Eliana Matteotti-Ferrata	2021-03-23	pertinipierpaolo	(Decimal('-47.1607985'), Decimal('56.058969'))	2019/01/03	A+	994	292
300-88-1434		合同会社橋本建設	takumatanaka@hotmail.com	石川県山武郡九十九里町雷門40丁目27番10号 パーク五味ヶ谷495	青木 洋介	1948-01-07	hidekiota	(Decimal('59.263282'), Decimal('174.745589'))	2023-11-27	A-	263	394
LTRRCC16M59D545I		Mazzacurati-Carriera s.r.l.	filippomezzetta@tiscali.it	"Via Maspero, 1 Appartamento 7
00011, Bagni Di Tivol (RM)"	Fulvio Trillini		annunziata48	(Decimal('88.1367605'), Decimal('95.726512'))	19 Jan 2019	O+	621	528
PCCPSL94B52B953N		Santi e figli	yfranzese@gmail.com	"Contrada Sandra, 495
00178, Capannelle (RM)"	Dott. Massimiliano Lamborghini		ppacillo	(Decimal('-29.2880275'), Decimal('-76.430932'))	2020/05/04	B+	1552	774
PLLNNI58T63G337K		Argan, Angiolello e Schiavo Group	qferrazzi@gmail.com		Dott. Vanessa Modigliani		ydibiasi	(Decimal('43.9793685'), Decimal('125.125371'))	29 Mar 2021	O-	1772	775
46958170393		Albuquerque Fernandes - ME	msilva@yahoo.com.br	"Núcleo Cardoso
Vila De Sá
19204-403 Fogaça de Minas / PI"	Nicole Guerra	2000-03-25	mendesleo	(Decimal('81.040495'), Decimal('119.897504'))	10/21/2019, 00:00:00	O+	1375	386
144-69-2131		Jones-Rodriguez	maryray@gmail.com	"673 Dustin Oval Apt. 796
East Jenniferhaven, AL 97265"	Paul Sanchez	2004-02-03	bmejia	(Decimal('-40.656449'), Decimal('-55.892606'))	2023-06-15	A-	1710	697
168-83-9843		Möchlichen Mosemann AG	sergiovollbrecht@googlemail.com		Catherine Textor	1970-07-21	leila62	(Decimal('-45.792015'), Decimal('-54.599222'))	2023/10/09	AB-	1419	316
NGNMTT20D56C790W		Montanelli Group	giacobbe60@hotmail.it	"Rotonda Bertoni, 85 Appartamento 7
95039, Trecastagni (CT)"	Loretta Cerutti		qperozzo	(Decimal('-29.7486195'), Decimal('34.951567'))	04/10/2023, 00:00:00	O-	1226	746
573-42-3888		Luna Inc	goodmandaniel@hotmail.com	"0153 Norman Pass
New Catherineview, GA 29423"	Ronnie Figueroa	2000-01-07	virginia31	(Decimal('-17.137047'), Decimal('168.509577'))	2021/06/10	AB+	1827	170
209-80-0337		田中保険有限会社	yamadachiyo@yahoo.com	秋田県台東区浅草橋6丁目19番18号 南郷屋シャルム738	井上 裕樹	1987-09-27	chiyo95	(Decimal('4.6644945'), Decimal('-62.589156'))	2025/02/18	A+	657	317
596-83-9976	Chirurgiemechaniker	Neureuther	curtroerricht@gmx.de	"Geißlerstr. 30-56
57249 Forst"	Emilie Dussen van	1979-05-31	buttebertold	(Decimal('-79.0486375'), Decimal('-100.337853'))	2020/05/04	AB+	1684	509
49038751214		da Mata Câmara - ME	diogo72@hotmail.com	"Área Asafe Ferreira, 9
Baleia
92484079 Novaes / CE"	Melissa Machado	1918-07-15	gpires	(Decimal('-44.325444'), Decimal('145.048862'))	2024/03/24	B+	1264	428
753-29-0114		Börner	gertfechner@aol.de	"Fröhlichplatz 4/8
81462 Marktheidenfeld"	Helfried Dehmel	1927-07-03	lspeer	(Decimal('57.607143'), Decimal('-55.954796'))	06/24/2021, 00:00:00	A+	1852	179
60853749256	Frentista	Cassiano	benjamimviana@ig.com.br	"Estrada de Ferreira
Bela Vitoria
84657-025 Lopes / MA"	Henrique Novais		nalves	(Decimal('72.696083'), Decimal('96.356614'))	13 Jun 2025	A+	1254	173
194-99-0497		高橋運輸株式会社	yamamototaichi@yahoo.com	熊本県横浜市神奈川区戸塚町14丁目17番6号	木村 七夏	2021-09-06	ytakahashi		2025/02/09	AB-	116	327
355-83-7016	Schornsteinfeger	Wieloch	kadenuran@yahoo.de	"Leonhard-Etzler-Platz 61/73
22953 Bergzabern"	Ing. Francesca Mühle B.A.		bhenk	(Decimal('36.7942245'), Decimal('-174.833606'))	2025/06/10	B+	129	696
314-78-0908		Foster-Hill	ukim@hotmail.com	"789 Jennifer Centers Suite 850
Gonzalezland, VI 84059"	Leslie Camacho		veronicahall	(Decimal('-19.6758985'), Decimal('85.582507'))	05/21/2019, 00:00:00	AB-	1681	630
674-75-3224	Beamter	Trüb OHG mbH	ferdinand09@yahoo.de	"Dietmar-Wiek-Allee 9-8
19669 Siegen"	Dr. Henning Eckbauer MBA.		ovollbrecht	(Decimal('-19.021247'), Decimal('-109.937125'))	2024-10-02	A+	815	429
225-02-7011		Cole, Hanson and Contreras	kbrown@gmail.com		Pamela Hughes		kennethrosales		27 Feb 2022	AB-	278	4
585-25-4909		Nette GmbH & Co. KG	ystiebitz@gmail.com	"Ingrid-Schulz-Weg 7363
27686 Bergzabern"	Harm Ehlert		qschinke	(Decimal('5.850411'), Decimal('156.154604'))	2022/08/21	A+	888	269
132-81-1280	救急救命士	有限会社遠藤ガス	atsushiwatanabe@hotmail.com	群馬県香取郡多古町方京30丁目16番11号	松本 聡太郎		moriyumiko	(Decimal('-80.035394'), Decimal('-103.819356'))	2024-07-04	AB+	2021	713
170-17-8835		Gutknecht	herta46@gmail.com	"Nathalie-Hermighausen-Allee 45-25
52286 Pirmasens"	Annie Krein		gwinkler	(Decimal('-11.312015'), Decimal('-80.992959'))	07/25/2020, 00:00:00	A-	781	660
24715693070		Macedo	rcostela@ig.com.br	"Núcleo de Marques, 2
João Pinheiro
64189601 Duarte / MG"	Dr. Thales Pinto		kcastro		2023/11/12	A-	740	663
042-07-6279		吉田情報有限会社	rikeda@gmail.com	和歌山県町田市白金台14丁目1番18号 コーポ上高野273	佐藤 裕樹	1949-10-22	gyamamoto	(Decimal('57.5316005'), Decimal('-12.416683'))	12/01/2023, 00:00:00	A-	417	336
364-61-6922		株式会社松田通信	watanabenaoko@hotmail.com	埼玉県品川区六番町12丁目6番7号	中村 千代	2019-12-11	mituru47		2021-03-23	B-	10	39
641-09-3966		Lorch GmbH	girschnersofie@aol.de	"Felicitas-Eckbauer-Ring 993
11838 Lübz"	Irmhild Riehl-Hahn		martha52	(Decimal('52.120195'), Decimal('-22.891249'))	04/25/2025, 00:00:00	AB-	95	125
641-12-0364		Smith, Mcintosh and Mitchell	jonesjoy@hotmail.com	"6768 Skinner Club
Acevedoport, MP 66299"	Anthony Lloyd	2025-02-27	smithabigail	(Decimal('21.670978'), Decimal('-70.721721'))	2024-05-15	B+	1785	388
75326490161		Novaes	boliveira@gmail.com	"Viaduto de Rodrigues
Vila Do Pombal
54603502 Castro / PA"	Aurora Rios		npacheco		17 Apr 2023	A+	1793	393
209-58-2547	Winzer	Rörricht Grein Groth OHG mbH	lholzapfel@yahoo.de	"Irmtrud-Schwital-Platz 70
07262 Lobenstein"	Marie-Louise Jacob		michaela47		16 Nov 2023	B-	187	546
733-13-9188	建築家	伊藤電気有限会社	nanamikobayashi@gmail.com	石川県青ヶ島村猿楽町3丁目19番15号 アーバン蟇沼354	渡辺 加奈	2022-10-10	abeshota	(Decimal('-34.6996535'), Decimal('-144.764489'))	05 Jul 2021	O+	188	100
619-94-9490		Yates-Hall	zgreen@yahoo.com	"Unit 5174 Box 1105
DPO AP 81249"	Jason Vargas	1936-08-05	glynn	(Decimal('-84.7841335'), Decimal('-137.268893'))	15 Oct 2022	O+	1324	398
CRNNZE15B46D208D		Sonnino, Leone e Palladio Group	antonuccibeppe@hotmail.it	"Stretto Donatoni, 50 Piano 3
31024, Ormelle (TV)"	Ludovico Siffredi	1975-06-05	annibale90	(Decimal('-60.664866'), Decimal('-175.817431'))	14 Mar 2021	O+	1086	247
GGGRMN27B23E615I		Romiti s.r.l.	lolitaginesio@libero.it	"Rotonda Ennio, 825 Piano 5
33085, Maniago (PN)"	Damiano Tarchetti-Emanuelli	1989-12-19	massimoantonucci	(Decimal('22.427508'), Decimal('177.775165'))	2021-11-24	AB+	398	649
58429671030		Leão	benjamim88@hotmail.com	"Largo Rodrigues
Jardim Guanabara
07793221 Borges / RS"	Isaque da Conceição		ana-julia92	(Decimal('46.0567535'), Decimal('-62.982452'))	04/08/2023, 00:00:00	A-	1100	406
001-46-9188		Kusch	qhaering@googlemail.com	"Mitschkestraße 8472
31135 Luckenwalde"	Herr Ernest Drewes	1931-08-24	fischergertrud	(Decimal('-44.4996565'), Decimal('-172.779193'))	06/20/2024, 00:00:00	B-	1770	245
053-30-5596		Santiago Inc	brittanykim@gmail.com	"78552 Kelly Ferry Apt. 862
Kathleentown, WV 57409"	James Garner	1917-07-30	melissa47	(Decimal('-76.481798'), Decimal('-75.289123'))	05/09/2022, 00:00:00	B+	493	612
579-08-8408		Hughes Inc	emathis@hotmail.com	"70041 Jessica Summit
East Sarahview, SD 34531"	Jason Lewis	2016-07-09	jacqueline38	(Decimal('79.466881'), Decimal('-1.514146'))	07 Feb 2024	B+	1506	507
32108594779		das Neves Melo e Filhos	andradebenicio@hotmail.com	"Viela Sampaio, 544
São Geraldo
34626-044 Vieira do Campo / MG"	Ana Carolina Dias		aragaodavi-lucas	(Decimal('-31.396169'), Decimal('-171.178148'))	10/09/2024, 00:00:00	A-	260	447
951-38-2037		Reichmann Karge e.G.	xtroest@hotmail.de	"Benderstr. 25
97577 Waldmünchen"	Univ.Prof. Karina Nette	1934-07-25	milkaweinhage	(Decimal('-42.2495495'), Decimal('-121.014889'))	2018/09/24	AB-	1708	87
864-28-8792		Hornich Drewes AG & Co. OHG	wally39@gmail.com		Renato Tintzmann		ptrapp	(Decimal('19.6726965'), Decimal('25.797857'))	2022/06/18	A-	814	262
777-58-7126	コピーライター	有限会社森情報	lshimizu@gmail.com	神奈川県夷隅郡大多喜町中川崎10丁目16番10号 下宇和田ハイツ168	井上 淳	1985-05-27	yamamototsubasa	(Decimal('-42.664356'), Decimal('-130.664724'))	07/10/2022, 00:00:00	AB-	1579	539
79014528620		Câmara	gustavopastor@bol.com.br	"Viela Ágatha Ribeiro, 25
Pedreira Padro Lopes
25286-940 Cassiano de Farias / GO"	Arthur Gabriel Garcia		obrito	(Decimal('-51.5377345'), Decimal('-142.951465'))	2020-12-02	O+	858	548
21438709650		Melo	kaique14@yahoo.com.br	"Favela Cavalcante, 8
Paquetá
84107829 Pires / GO"	Felipe da Costa		wvieira	(Decimal('82.983900'), Decimal('68.763645'))	10/16/2024, 00:00:00	A+	225	525
CLBGBL88M70D559Y	Surveyor, quantity	Pennetta-Brambilla SPA	delfino47@fastwebnet.it	"Incrocio Pennetta, 6 Piano 7
55011, Spianate (LU)"	Sig. Niccolò Trevisani	2022-01-05	omercantini	(Decimal('-72.3112405'), Decimal('123.553496'))	17 Jun 2024	B+	1964	286
FNTFRC91E05C777M		Littizzetto e figli	trevisanisylvia@tele2.it	"Piazza Colletti, 7 Piano 5
74011, Case Perrone (TA)"	Mariana Fantozzi		elvira91	(Decimal('-31.1776205'), Decimal('70.754511'))	04 Jun 2025	O+	2008	712
25389760140		Araújo S/A	yalmeida@uol.com.br	"Viela de Machado, 6
Canadá
06657-783 Aparecida / RS"	Maria Cecília Santos	1979-02-04	pireslunna	(Decimal('-18.245081'), Decimal('-165.785131'))	2020-04-29	B+	677	173
195-74-3602	Surveyor, building control	House, Martinez and Spears	dclark@yahoo.com	"100 Wendy Port Suite 856
Rachelbury, WV 99696"	Marco King	1978-07-22	xdecker	(Decimal('73.4398085'), Decimal('-67.959806'))	12/20/2024, 00:00:00	B+	1376	615
TRMTNO59H70B832V	Recruitment consultant	Pedroni, Manunta e Trebbi s.r.l.	tromagnoli@yahoo.com		Patrizia Comencini		ermenegildo79	(Decimal('76.0610185'), Decimal('113.835534'))	01/29/2024, 00:00:00	O+	2016	730
022-45-4395		Textor	timo41@aol.de	"Ortmannstraße 8133
21458 Hammelburg"	Denny Hartmann	1935-04-21	iweitzel	(Decimal('-43.5003185'), Decimal('133.599501'))	07/30/2021, 00:00:00	B+	1140	562
154-17-7055	Psychotherapist, dance movement	Martinez Inc	jennifer04@yahoo.com	"06749 Dixon Plaza Apt. 323
Port Colleenside, MD 36851"	Elizabeth Thomas	1966-07-07	jacquelinemartinez	(Decimal('-13.942544'), Decimal('-96.014614'))	2025-07-19	AB-	1614	255
440-62-0930		株式会社三浦ガス	osamumatsuda@gmail.com	和歌山県文京区松浦町18丁目25番20号 渡辺クレスト768	岡田 桃子	1954-07-15	kyamaguchi	(Decimal('40.530332'), Decimal('160.057869'))	2019-03-12	B-	1281	99
798-78-8361		伊藤印刷有限会社	ryoheiyamada@gmail.com	茨城県横浜市西区南赤田3丁目4番20号 日比谷公園シティ037	中川 知実	1956-04-14	shoheigoto	(Decimal('79.6832745'), Decimal('169.905276'))	2018-10-01	B-	790	751
009-55-5192	Winzer	Metz Hartung Stiftung & Co. KGaA	edeltrautfiebig@gmail.com	"Jeannette-Krause-Weg 2
56134 Gütersloh"	Dipl.-Ing. Nikolai Kranz MBA.		lkramer	(Decimal('-64.644312'), Decimal('106.181237'))	2023/07/05	A-	1798	571
872-05-4584		Clark and Sons	jeanmendez@hotmail.com	"87126 Andrew Green
Leeview, VI 52985"	Connie Harding	1912-06-25	ehill	(Decimal('-85.9044745'), Decimal('144.853812'))	2021-07-07	AB-	1527	521
60397581203		Cirino - EI	yferreira@hotmail.com	"Jardim de Dias, 706
Vila Bandeirantes
76662901 Pereira da Prata / TO"	Ana Laura Lopes	1921-01-11	rsilva	(Decimal('-80.581435'), Decimal('-156.901238'))	2020-02-27	A-	1201	466
100-59-4453	Plant breeder/geneticist	Cherry-Lam	frostmichelle@hotmail.com	"5510 Turner Courts Apt. 035
New Andrew, PW 85799"	Sherry Rice		oosborne	(Decimal('51.6002955'), Decimal('176.201510'))	2021/12/08	B-	1864	598
991-36-2801	Programmierer	Biggen Hethur e.V.	catherineniemeier@googlemail.com	"Leyla-Zänker-Platz 3248
61096 Recklinghausen"	Traudel Roht B.Sc.		josef55	(Decimal('-81.4742345'), Decimal('-80.880106'))	22 Feb 2024	AB+	612	589
823-02-0098	Designer, industrial/product	Harmon Inc	barnettmichael@yahoo.com		Kayla King	1990-03-21	johnsonbrittany	(Decimal('-46.972502'), Decimal('138.257897'))	05/02/2020, 00:00:00	B-	940	173
01397246804		Nascimento e Filhos	ravifarias@gmail.com	"Núcleo Yan Albuquerque, 42
Frei Leopoldo
43782-357 Novaes Alegre / SC"	Dr. Apollo Casa Grande		isadoradas-neves	(Decimal('-61.7688975'), Decimal('108.839316'))	2019-05-06	AB+	2	702
838-17-5872	測量士	株式会社中村印刷	takuma65@gmail.com	岐阜県大網白里市下宇和田40丁目19番5号 東浅草コート023	西村 涼平		syamaguchi	(Decimal('-19.0797915'), Decimal('60.459866'))	2019/06/10	A-	2072	750
667-39-0105		遠藤情報合同会社	yasuhiro45@gmail.com	鹿児島県浦安市鶴ヶ丘13丁目10番18号 アーバン月島219	山田 あすか		ryoheiinoue	(Decimal('-36.437234'), Decimal('-25.245404'))	09/26/2024, 00:00:00	O+	630	453
38250146735		Vasconcelos Ltda.	aylla36@gmail.com		Dr. Benjamin da Mata		almeidahadassa	(Decimal('16.457435'), Decimal('72.846272'))	13 Nov 2018	A-	1862	439
281-50-8194	Tourist information centre manager	Perez-Powers	william19@gmail.com		Abigail Jones	1966-03-27	vgraves	(Decimal('6.944553'), Decimal('-17.968183'))	03 May 2021	AB-	335	488
323-46-7959		Singh-Klein	susanpope@yahoo.com	"60022 Mary Loop
Rodgersport, VA 11635"	Brent Kelly		sarah65	(Decimal('5.4885705'), Decimal('-70.818312'))	2024-05-28	AB+	47	91
116-81-1916	コピーライター	有限会社池田保険	yamazakitaro@gmail.com	鳥取県江東区平河町38丁目10番15号 上野公園クレスト721	鈴木 浩		hanako53	(Decimal('8.8262405'), Decimal('36.966684'))	2025/04/19	A+	1802	683
650-70-8234		伊藤運輸合同会社	twatanabe@gmail.com		高橋 翼	1932-11-27	naoki80	(Decimal('-12.8913505'), Decimal('3.030423'))	09/20/2022, 00:00:00	AB-	363	635
320-89-1366		Eberth AG & Co. KGaA	carolina01@gmail.com	"Anja-Hentschel-Allee 8
18379 Recklinghausen"	Horst-Peter Trubin	1953-10-14	krokerisabelle	(Decimal('-76.164481'), Decimal('-0.733362'))	2023/06/04	AB+	1642	752
210-74-2111		Kelly, Jackson and Jefferson	stacey30@yahoo.com	"2555 Malone Points Apt. 865
West Vickie, NE 46640"	Caitlin Powell		cooketheresa	(Decimal('-61.529291'), Decimal('108.851325'))	15 Mar 2022	A-	1444	446
267-65-0879		Metz	vincenzognatz@web.de	"Herrmannplatz 1/8
06256 Diepholz"	Cilly Heuser	1929-05-03	karolinehornig	(Decimal('23.890704'), Decimal('11.700958'))	03/26/2022, 00:00:00	B+	1486	251
28760541326		Novais Azevedo Ltda.	tfreitas@yahoo.com.br	"Distrito Fernando Jesus, 9
Bernadete
39177-864 Rezende Alegre / ES"	Leandro Santos	2005-04-30	macedolorena	(Decimal('-85.314551'), Decimal('115.874375'))	17 Nov 2020	O+	1092	83
BDRRKE85H13C485L		Pagnotto, Guidotti e Ammaniti SPA	marta98@hotmail.com	"Vicolo Panfilo, 393 Piano 3
53026, Pienza (SI)"	Carmelo Lercari		melinavalier	(Decimal('-67.0461325'), Decimal('-37.025151'))	2021-12-14	B-	10	244
472-26-0360		Barkholz Fischer GbR	draedel@hotmail.de		Hans-Rainer Lindau MBA.	2005-12-20	nchristoph	(Decimal('0.701998'), Decimal('-35.659292'))	08/26/2023, 00:00:00	B-	1769	561
